Number,CountClassCoupled,MaxCyclomatic,MaxNesting,CountLineBlank,CountLineCode,CountLineComment,RatioCommentToCode,CountDeclMethod,Number
0,2.0,3.25,2.0,5.75,25.5,15.25,0.585,5.0,0.0
2,3.75,5.25,2.5,5.5,31.5,18.75,0.625,5.0,2.0
3,3.0,2.0,1.0,5.5,28.0,35.0,1.225,6.0,3.0
4,0.0,4.0,2.0,6.25,40.5,19.5,0.505,7.0,4.0
5,1.25,4.75,2.5,4.75,17.75,12.75,0.635,3.0,5.0
8,1.0,3.0,1.0,4.0,24.5,0.0,0.0,5.0,8.0
10,2.0,3.0,2.0,6.0,29.0,18.0,0.62,5.0,10.0
11,1.0,2.0,1.0,3.0,20.0,19.0,0.95,4.0,11.0
12,1.0,5.75,2.0,6.5,38.75,17.75,0.46,4.0,12.0
13,0.0,4.0,2.5,4.0,22.5,0.0,0.0,5.0,13.0
14,0.0,1.0,0.0,7.0,42.0,34.0,0.81,7.0,14.0
15,1.0,3.5,2.25,5.25,30.5,12.25,0.39249999999999996,4.25,15.0
16,1.5,6.5,3.0,7.5,47.5,11.0,0.21,3.0,16.0
17,1.75,4.0,2.0,10.75,30.5,19.75,0.6225,7.0,17.0
18,0.0,1.0,0.0,7.25,22.0,19.75,0.8975,8.0,18.0
20,1.0,2.0,1.0,4.25,30.5,22.25,0.7175,5.0,20.0
21,1.5,4.5,3.0,6.25,29.75,14.75,0.5475,5.5,21.0
22,1.5,4.5,3.0,5.0,31.25,17.5,0.4925,5.5,22.0
23,5.0,3.0,1.0,6.0,28.25,20.0,0.805,6.0,23.0
25,1.25,2.25,2.0,3.25,21.5,14.25,0.655,4.0,25.0
26,1.0,3.0,2.0,8.0,34.0,20.0,0.59,4.0,26.0
27,2.0,2.0,1.0,7.0,26.0,29.0,1.11,5.0,27.0
28,1.0,2.0,1.5,4.0,43.5,0.0,0.0,5.0,28.0
29,0.0,3.0,1.0,5.0,23.0,21.0,0.91,3.0,29.0
30,1.0,1.5,0.5,6.0,17.0,19.0,1.0,7.0,30.0
31,1.0,2.0,1.0,4.25,34.25,13.75,0.39249999999999996,4.0,31.0
32,1.0,14.0,3.6666666666666665,10.333333333333334,68.0,17.333333333333332,0.25666666666666665,4.0,32.0
33,0.0,3.0,2.0,5.333333333333333,30.333333333333332,25.666666666666668,0.84,6.0,33.0
34,2.5,4.75,3.0,5.75,51.25,14.5,0.285,6.0,34.0
36,1.0,3.0,2.0,5.5,32.5,16.5,0.485,6.0,36.0
37,1.0,5.666666666666667,3.0,5.333333333333333,38.333333333333336,11.0,0.2833333333333333,4.0,37.0
38,3.75,4.5,2.5,7.5,35.25,14.0,0.39749999999999996,4.0,38.0
39,1.25,8.0,3.0,7.0,62.0,11.75,0.1675,7.25,39.0
40,0.5,4.75,1.25,5.0,36.5,16.75,0.48750000000000004,4.0,40.0
42,0.0,5.0,1.0,4.0,36.0,0.0,0.0,5.0,42.0
43,1.25,2.0,1.0,5.25,27.0,18.0,0.665,6.0,43.0
44,0.0,2.0,1.0,5.25,23.0,12.5,0.63,4.0,44.0
45,0.0,2.0,1.0,6.0,18.0,47.0,2.61,6.0,45.0
46,2.0,5.0,4.0,5.0,30.0,33.0,1.1,3.0,46.0
47,1.0,5.0,2.0,7.0,24.0,23.0,0.96,4.0,47.0
48,0.5,2.5,1.25,3.25,26.25,13.25,0.5375,3.5,48.0
49,0.25,2.0,1.0,7.25,34.0,25.0,0.6575,7.75,49.0
50,0.5,4.0,2.0,2.5,30.5,11.5,0.34,3.0,50.0
51,0.25,1.25,0.25,8.75,19.25,18.25,0.8775,2.0,51.0
52,1.0,5.0,1.0,11.0,31.0,34.0,1.1,5.0,52.0
53,0.5,3.25,2.0,4.75,13.5,11.0,0.815,3.0,53.0
54,1.25,4.5,2.5,8.25,38.5,21.25,0.59,6.5,54.0
55,2.25,4.75,2.0,7.5,24.75,14.5,0.5675,3.0,55.0
56,1.0,6.0,2.0,5.333333333333333,35.0,17.666666666666668,0.5033333333333333,6.0,56.0
57,2.0,5.75,3.25,5.0,38.5,8.0,0.25,3.0,57.0
58,1.5,7.25,4.75,8.25,39.5,18.5,0.4675,5.0,58.0
59,0.75,5.25,4.0,5.25,31.0,14.75,0.48750000000000004,4.0,59.0
60,0.0,1.0,0.0,4.0,38.0,18.0,0.41,5.0,60.0
61,0.0,2.75,1.5,8.25,43.25,30.5,0.7175,9.0,61.0
62,0.0,2.0,1.0,3.25,13.75,14.5,1.01,3.0,62.0
63,1.0,2.0,1.0,4.0,15.5,13.0,0.865,3.0,63.0
65,4.75,4.75,2.75,6.75,47.5,7.25,0.15,6.25,65.0
66,1.75,5.0,2.75,3.75,24.5,11.25,0.965,3.0,66.0
67,0.0,3.0,2.0,3.5,24.25,13.5,0.5625,4.0,67.0
68,1.0,1.6666666666666667,0.6666666666666666,3.0,30.333333333333332,7.333333333333333,0.27,4.0,68.0
71,1.0,6.0,4.0,7.0,52.0,30.0,0.58,4.0,71.0
72,0.3333333333333333,1.0,0.0,10.0,24.0,32.0,1.3333333333333333,10.0,72.0
73,0.0,2.5,1.5,5.5,33.0,32.0,1.0050000000000001,6.0,73.0
74,0.0,3.0,1.0,5.5,33.75,18.0,0.5325,6.0,74.0
75,1.5,3.0,2.0,4.25,21.0,15.75,0.7324999999999999,5.0,75.0
77,0.0,3.0,2.0,6.666666666666667,38.0,10.333333333333334,0.26333333333333336,5.0,77.0
78,0.0,1.5,0.5,2.5,12.5,14.25,1.2525,3.0,78.0
79,0.0,3.0,0.0,6.0,22.0,27.0,1.23,7.0,79.0
80,1.0,3.0,1.0,14.0,28.0,36.0,1.29,4.0,80.0
81,1.25,3.5,2.5,9.75,47.25,20.5,0.45999999999999996,7.0,81.0
82,0.0,4.0,3.0,7.25,41.25,17.0,0.395,8.0,82.0
83,0.0,1.0,0.0,5.0,38.0,26.0,0.68,6.0,83.0
84,0.6666666666666666,1.0,1.0,4.0,35.666666666666664,7.333333333333333,0.4066666666666667,5.0,84.0
85,0.5,4.5,2.0,9.0,37.75,20.25,0.525,8.0,85.0
87,2.0,1.0,0.0,8.0,22.0,42.0,1.91,8.0,87.0
88,2.0,2.75,1.5,5.5,30.25,18.5,0.565,6.0,88.0
89,2.25,3.0,2.0,4.25,20.75,14.25,0.6375,5.0,89.0
90,0.0,2.0,0.75,5.25,21.5,20.25,1.4025,6.0,90.0
91,0.0,1.6666666666666667,0.6666666666666666,4.333333333333333,15.333333333333334,23.666666666666668,1.3399999999999999,4.333333333333333,91.0
92,0.25,1.5,0.5,5.75,31.75,16.5,0.4925,6.5,92.0
93,0.0,1.5,0.5,7.0,21.0,38.5,1.945,4.0,93.0
94,0.0,3.25,2.25,5.25,31.5,18.75,0.55,6.0,94.0
95,0.0,2.0,1.0,6.5,29.0,53.0,1.855,7.0,95.0
96,0.0,3.75,2.5,6.25,23.0,12.5,0.585,5.0,96.0
98,1.0,2.6666666666666665,1.6666666666666667,4.333333333333333,35.666666666666664,7.666666666666667,0.18666666666666668,5.0,98.0
99,1.0,3.0,3.0,4.0,31.0,0.0,0.0,5.0,99.0
